type,title,author,press,year,preview_link
其他史料,中国学术思想研究辑刊三编28卷（缺1卷）,林庆彰主编,花木兰文化出版社,2009,
其他史料,中国学术思想研究辑刊四编28卷,林庆彰主编,花木兰文化出版社,2009,
其他史料,中国学术思想研究辑刊五编20卷,林庆彰主编,花木兰文化出版社,2009,
其他史料,中国学术思想研究辑刊六编30卷（缺1卷）,林庆彰主编,花木兰文化出版社,2010,
其他史料,中国学术思想研究辑刊七编24卷,林庆彰主编,花木兰文化出版社,2010,
其他史料,中国学术思想研究辑刊八编35卷,林庆彰主编,花木兰文化出版社,2010,
其他史料,中国学术思想研究辑刊九编20卷,林庆彰主编,花木兰文化出版社,2010,
其他史料,中国学术思想研究辑刊十编40卷,林庆彰主编,花木兰文化出版社,2010,
其他史料,中国学术思想研究辑刊十一编40卷,林庆彰主编,花木兰文化出版社,2011,
其他史料,中国学术思想研究辑刊十二编55卷,林庆彰主编,花木兰文化出版社,2011,
其他史料,中国学术思想研究辑刊十三编25卷,林庆彰主编,花木兰文化出版社,2012,
其他史料,中国学术思想研究辑刊十四编23卷,林庆彰主编,花木兰文化出版社,2012,
其他史料,中国学术思想研究辑刊十五编18卷,林庆彰主编,花木兰文化出版社,2013,
其他史料,中国学术思想研究辑刊十六编25卷,林庆彰主编,花木兰文化出版社,2013,
其他史料,中国学术思想研究辑刊十七编34卷,林庆彰主编,花木兰文化出版社,2013,
其他史料,四库未收书辑刊301卷,,北京出版社,2000,
其他史料,梵蒂冈图书馆藏明清时期中西文化交流史文献丛刊第一辑44卷,张西平等,大象出版社,2014,
其他史料,明代进士登科录汇编22卷（台）,,,,
其他史料,丛书集成新编121卷（台）,,新文丰出版公司,1986,
其他史料,丛书集成续编280卷（台）,,新文丰出版公司,1997,
其他史料,丛书集成三编100卷（台）,,新文丰出版公司,1997,
其他史料,丛书集成全三编500卷,,新文丰出版公司,,
其他史料,中华文史丛书115卷（台）,,华文书局,1968,
其他史料,湖湘文库642卷,,岳麓书社,2011,
其他史料,华东师范大学图书馆藏稀见丛书汇刊40卷,黄秀文、吴平主编,北京图书馆出版社,2006,
其他史料,清代官员履历档案全编30卷,中国第二历史档案馆,华东师范大学,,
其他史料,清宫升平署档案集成108卷,中国国家图书馆编纂,中华书局,2011,
其他史料,中国明朝档案总汇101卷,中国第一历史档案馆、辽宁档案馆编,广西师范大学出版社,2001,
其他史料,大连图书馆藏清代内务府档案22卷,大连图书馆编,国家图书馆出版社,2010,
其他史料,中国边疆研究资料文库·边疆史地文献初编·东北边疆·第一辑29册第二辑24册,,知识产权出版社,,
其他史料,中国边疆研究资料文库·边疆史地文献初编·西北边疆·第一辑25册（缺1）第二辑21册,,知识产权出版社,,
其他史料,中国边疆研究资料文库·边疆史地文献初编·北部边疆·第一辑17册第二辑14册,,知识产权出版社,,
其他史料,中国边疆研究资料文库·边疆行政建制初编·西北及西南23卷,,知识产权出版社,,
其他史料,清实录60卷,,中华书局影印,,
其他史料,裁判文书全量数据1985~2021,,,,
其他史料,中国绘画全集30卷,中国古代书画鉴定组编,文物出版社,1999,
其他史料,中国现代美术全集48卷,,,,
其他史料,中国法书全集18卷,启功主编,文物出版社,2009,
其他史料,中国书法全集59卷（暂）,,,,
其他史料,中国少数民族古籍集成汉文版100卷,徐丽华主编,四川民族出版社,2002,
其他史料,清宫内务府造办处档案总汇55卷,中国第一历史档案馆,人民出版社,,
其他史料,清代科举人物家传资料汇编101卷,来新夏主编,学苑出版社,2006,
其他史料,国家清史编纂委员会文献丛刊2163卷,,,,
其他史料,稀见清咸同光三朝档册3卷,,,,
其他史料,稀见清咸丰军事外交谕令密件2卷,,全国图书馆文献缩微复制中心,2005,
其他史料,清同治朝政务档案3卷,,全国图书馆文献缩微复制中心,2005,
其他史料,赫鲁晓夫言论15册,,世界知识出版社,1966,
其他史料,黔南丛书·点校本6册,王士性著,贵州人民出版社,2010,
其他史料,续黔南丛书15册,贵州省文史研究馆编,贵州人民出版社,2012,
其他史料,甲骨文合集13册,郭沫若主编,中华书局,1981,
其他史料,甲骨文合集补编14册,,语文出版社,1999,
其他史料,中国少数民族社会历史调查资料109册,,民族出版社,,
其他史料,百衲本二十四史,,,,
其他史料,中国历史地图集8册,,中华地图学社,1975,
其他史料,日本军国主义侵华资料长编3册,,四川人民出版社,1987,
其他史料,中国书画名家精品大典4册,朱伯雄、曹成章主编,浙江教育出版社,1998,
其他史料,中国京剧经典剧目汇编12册,,中国文史出版社,2017,
其他史料,评剧汇编20册,沈阳市文化局剧目室,,1984,
其他史料,京剧传统剧本汇编36册,北京市艺术研究所,北京研究所,2009,
其他史料,中国河湖大典11册,,中国水利水电出版社,2010,
其他史料,上海文献汇编·经济卷（全50册）,,天津古籍出版社,2012,
其他史料,京剧历史文献汇编14册,傅谨主编,凤凰出版社,2011,
其他史料,杭州佛教文献丛刊(全20册),,杭州出版社,2005,
其他史料,明代通俗日用类书集刊（全16册）,中国社会科学院历史研究所文化室,西南师范大学出版社,2011,
其他史料,肯尼迪遇刺档案,,,,
其他史料,宋人年谱丛刊12册,吴洪泽等主编,四川大学出版社,2002,
其他史料,中国书法史7册,,江苏教育出版社,2008,
其他史料,中国少数民族古籍总目提要21卷,国家民族事务委员会全国少数民族古籍整理研究室,中国大百科全书出版社,2013,
其他史料,新中国出土墓志23册,中国文物研究所·河南省文物研究所,文物出版社,,
其他史料,咸同贵州军事史8册,古籍,,,
其他史料,二十四史全译88册,许嘉璐主编,汉语大词典出版社,2004,
其他史料,中国现代哲学史资料汇编+续编（存48册）,辽宁大学哲学系,,1982,
其他史料,元和郡县图志1-40卷,,商务印书馆,1937,
其他史料,嘉庆重修《大清一统志》四部丛刊本31卷,,,,
其他史料,大明一统志·天顺五年御制序刊本90卷,,,,
其他史料,方舆考证·济宁潘氏华鉴阁本100册40卷,,,,
其他史料,万历《开原图说》1卷,,,,
其他史料,台湾学生书局方志系列19册,,,,
其他史料,中国方志丛书1834册,,,,
其他史料,中华山水志丛刊·山志20册（缺21-38）,,线装书局,2004,
其他史料,中华山水志丛刊·河川湖泽志37册,,线装书局,2004,
其他史料,中国历代书院志16卷,,,,
其他史料,中国地方志民俗资料汇编7卷,,,,
其他史料,中国地方志集成664卷,,,,
其他史料,中国风物志丛书12卷,,,,
其他史料,北京师范大学图书馆藏稀见方志丛刊122卷,,北京图书馆出版社,2007,
其他史料,天一阁藏明代方志选刊105卷,,,,
其他史料,宋元方志丛刊8卷,,,,
其他史料,日本早稻田大学图书馆藏地方志16种561卷,,,,
其他史料,日本藏中国罕见地方志丛刊26种44卷,,,,
其他史料,早稻田大学图书馆藏书·历史地理部分1183卷,,,,
其他史料,明代孤本方志选23种12卷,,,,
其他史料,浙江图书馆丛书地理考证类34种16卷,,,,
其他史料,清代孤本方志选第一辑76种30卷,,,,
其他史料,清代孤本方志选第二辑10卷（暂）,,,,
其他史料,陕西图书馆藏稀见方志丛刊55种16卷,,,,
其他史料,中国地方志总目提要4卷,,,,
其他史料,中国地方志论集1911-1983·2卷,,,,
其他史料,历代释道人物志·百部地方志选集4卷,,,,
其他史料,天一阁藏明代方志选刊·人物资料人名索引2卷,,,,
其他史料,明代地方志传记索引2卷,,,,
其他史料,永乐大典方志辑佚5卷,,,,
其他史料,稀见中国地方志汇刊60卷,,,,
